TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Dentex dentex,Common dentex,Trawl,high,destructive,600439,Large benthopelagics (>=90 cm),demersal
Dissostichus eleginoides,Patagonian toothfish,Lines Non-tuna,low,non-destructive,600467,Large bathydemersals (>=90 cm),demersal
Mycteroperca,Cat groupers,Lines Non-tuna,low,non-destructive,503028,Medium reef assoc. fish (30 - 89 cm),pelagic
Scorpaena,Scorpionfish,Gillnet,high,non-destructive,500134,Large reef assoc. fish (>=90 cm),pelagic
Selar crumenophthalmus,Bigeye scad,Purse seine Non-tuna,low,non-destructive,600387,Medium pelagics (30 - 89 cm),pelagic
Spratelloides gracilis,Silverstriped round herring,Trawl,high,destructive,601458,Small pelagics (<30 cm),demersal
Seriolella porosa,Choicy ruff,Trawl,high,destructive,608390,Medium benthopelagics (30 - 89 cm),demersal
Illex argentinus,Argentine shortfin squid,Trawl,high,destructive,690023,Cephalopods,demersal
Gadus morhua,Atlantic cod,Longline Non-tuna,high,non-destructive,600069,Large benthopelagics (>=90 cm),pelagic
Macruronus novaezelandiae,Blue grenadier,Trawl,high,destructive,601825,Large demersals (>=90 cm),demersal
Chloroscombrus chrysurus,Atlantic bumper,Gillnet,high,non-destructive,600385,Medium pelagics (30 - 89 cm),pelagic
Megabalanus psittacus,Giant barnacle,Dredge,high,destructive,690613,Other demersal invertebrates,demersal
Arctoscopus japonicus,Sailfin sandfish,Lines Non-tuna,low,non-destructive,600463,Small bathydemersals (<30 cm),demersal
Mycteroperca xenarcha,Broomtail grouper,Lines Non-tuna,low,non-destructive,603334,Large demersals (>=90 cm),demersal
Parapenaeopsis,Shrimps,Trawl,high,destructive,590094,Shrimps,demersal
Chloroscombrus chrysurus,Atlantic bumper,Purse seine Non-tuna,low,non-destructive,600385,Medium pelagics (30 - 89 cm),pelagic
Selene dorsalis,African moonfish,Gillnet,high,non-destructive,600379,Small demersals (<30 cm),demersal
Fenneropenaeus chinensis,Fleshy prawn,Trawl,high,destructive,690133,Shrimps,demersal
Farfantepenaeus paulensis,Sao Paulo shrimp,Trawl,high,destructive,690338,Shrimps,demersal
Sphyraena jello,Pickhandle barracuda,Gillnet,high,non-destructive,604827,Large reef assoc. fish (>=90 cm),pelagic
Polyprion oxygeneios,Hapuka,Longline Non-tuna,high,non-destructive,600350,Large demersals (>=90 cm),demersal
Ommastrephidae,Arrow squids,Gillnet,high,non-destructive,490004,Cephalopods,pelagic
Dicentrarchus,European/spotted seabass,Seine,high,non-destructive,502682,Large demersals (>=90 cm),demersal
Osmerus eperlanus,European smelt,Purse seine Non-tuna,low,non-destructive,601334,Medium pelagics (30 - 89 cm),pelagic
Lateolabrax japonicus,Japanese seaperch,Gillnet,high,non-destructive,604589,Medium reef assoc. fish (30 - 89 cm),pelagic
Engraulis anchoita,Argentine anchoita,Gillnet,high,non-destructive,601659,Small pelagics (<30 cm),pelagic
Centropomus undecimalis,Common snook,Trawl midwater,high,non-destructive,600345,Large demersals (>=90 cm),pelagic
Belonidae,Needlefishes,Lines Non-tuna,low,non-destructive,400207,Medium pelagics (30 - 89 cm),pelagic
Saurida undosquamis,Brushtooth lizardfish,Gillnet,high,non-destructive,601055,Medium demersals (30 - 89 cm),demersal
Leiostomus xanthurus,Spot croaker,Seine,high,non-destructive,600429,Medium demersals (30 - 89 cm),demersal
Seriolella,Barrelfishes,Pole and Line Tuna,low,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Sphoeroides,Puffers,Gillnet,high,non-destructive,509125,Large reef assoc. fish (>=90 cm),pelagic
Cephalopholis hemistiktos,Yellowfin hind,Other,low,non-destructive,606447,Medium reef assoc. fish (30 - 89 cm),pelagic
Archosargus probatocephalus,Sheepshead seabream,Trawl midwater,high,non-destructive,600441,Medium demersals (30 - 89 cm),pelagic
Atheresthes stomias,Arrowtooth flounder,Lines Non-tuna,low,non-destructive,600517,Small to medium flatfishes (<90 cm),demersal
Pleuroncodes planipes,Pelagic red crab,Trap,high,non-destructive,690625,"Lobsters, crabs",demersal
Lutjanus griseus,Grey snapper,Gillnet,high,non-destructive,600266,Medium reef assoc. fish (30 - 89 cm),pelagic
Lithodes,Lithodes,Trawl,high,destructive,590070,"Lobsters, crabs",demersal
Marine fishes not identified,Marine fishes,Purse seine Non-tuna,low,non-destructive,100039,Medium demersals (30 - 89 cm),pelagic
Antimora rostrata,Blue antimora,Trawl,high,destructive,602005,Medium bathypelagics (30 - 89 cm),demersal
Pagellus bogaraveo,Blackspot seabream,Trawl midwater,high,non-destructive,600890,Medium benthopelagics (30 - 89 cm),pelagic
Macrourus,Grenadiers,Trawl midwater,high,non-destructive,500327,Medium benthopelagics (30 - 89 cm),pelagic
Pseudopleuronectes americanus,Winter flounder,Gillnet,high,non-destructive,600524,Small to medium flatfishes (<90 cm),demersal
Sargocentron spiniferum,Sabre squirrelfish,Other,low,non-destructive,606507,Medium reef assoc. fish (30 - 89 cm),pelagic
Lutjanus synagris,Lane snapper,Lines Non-tuna,low,non-destructive,600181,Medium reef assoc. fish (30 - 89 cm),pelagic
Pomadasys incisus,Bastard grunt,Lines Non-tuna,low,non-destructive,605003,Medium demersals (30 - 89 cm),demersal
Chloroscombrus chrysurus,Atlantic bumper,Trawl midwater,high,non-destructive,600385,Medium pelagics (30 - 89 cm),pelagic
Umbrina cirrosa,Shi drum,Gillnet,high,non-destructive,601306,Medium demersals (30 - 89 cm),demersal
Rastrelliger,Indo-Pacific mackerels,Trawl midwater,high,non-destructive,505469,Medium pelagics (30 - 89 cm),pelagic
Acanthopagrus latus,Yellowfin seabream,Lines Non-tuna,low,non-destructive,606356,Medium demersals (30 - 89 cm),demersal
Pleuronectiformes,Flatfishes,Lines Non-tuna,low,non-destructive,300061,Small to medium flatfishes (<90 cm),demersal
Centrophorus granulosus,Gulper shark,Trawl,high,destructive,600648,Large sharks (>=90 cm),demersal
Merluccius hubbsi,Argentine hake,Trawl midwater,high,non-destructive,600325,Medium benthopelagics (30 - 89 cm),pelagic
Epinephelus marginatus,Dusky grouper,Lines Non-tuna,low,non-destructive,606470,Large reef assoc. fish (>=90 cm),pelagic
Todarodes sagittatus,European flying squid,Lines Non-tuna,low,non-destructive,690124,Cephalopods,pelagic
Oncorhynchus masou masou,Cherry salmon,Gillnet,high,non-destructive,600242,Medium benthopelagics (30 - 89 cm),pelagic
Micropogonias undulatus,Atlantic croaker,Seine,high,non-destructive,600408,Medium demersals (30 - 89 cm),demersal
Sepiidae,Cuttlefishes,Trawl,high,destructive,490011,Cephalopods,demersal
Sphyraena barracuda,Great barracuda,Purse seine Non-tuna,low,non-destructive,601235,Large pelagics (>=90 cm),pelagic
Auxis,Frigate tuna,Gillnet,high,non-destructive,501163,Medium pelagics (30 - 89 cm),pelagic
Raja microocellata,Small-eyed ray,Trawl,high,destructive,605492,Small to medium rays (<90 cm),demersal
Sebastes entomelas,Widow rockfish,Trawl,high,destructive,600502,Medium pelagics (30 - 89 cm),demersal
Scyliorhinus,Lesser catsharks,Gillnet,high,non-destructive,500814,Large sharks (>=90 cm),pelagic
Trisopterus esmarkii,Norway pout,Trawl midwater,high,non-destructive,601023,Medium benthopelagics (30 - 89 cm),pelagic
Venus (=Chamelea) gallina,Striped venus,Dredge,high,destructive,NA,NA,demersal
Caranx,Jacks,Lines Non-tuna,low,non-destructive,500467,Large pelagics (>=90 cm),pelagic
Scyliorhinus stellaris,Nursehound,Lines Non-tuna,low,non-destructive,600854,Large sharks (>=90 cm),pelagic
Polydactylus quadrifilis,Giant African threadfin,Trawl,high,destructive,605002,Large demersals (>=90 cm),demersal
Macrodon ancylodon,King weakfish,Trawl,high,destructive,600417,Medium demersals (30 - 89 cm),demersal
Loligo pealeii,Longfin squid,Trawl,high,destructive,NA,NA,demersal
Antimora rostrata,Blue antimora,Lines Non-tuna,low,non-destructive,602005,Medium bathypelagics (30 - 89 cm),pelagic
Polynemidae,Threadfins,Lines Non-tuna,low,non-destructive,400361,Small demersals (<30 cm),demersal
Aulacomya ater,Cholga mussel,Dredge,high,destructive,690081,Other demersal invertebrates,demersal
Concholepas concholepas,False abalone,Dredge,high,destructive,690127,Other demersal invertebrates,demersal
Gempylidae,Snake mackerels,Trawl midwater,high,non-destructive,400414,Large benthopelagics (>=90 cm),pelagic
Clupeidae,Herrings shads sardines menhadens,Lines Non-tuna,low,non-destructive,400043,Small pelagics (<30 cm),pelagic
Seriolella,Barrelfishes,Gillnet,high,non-destructive,502004,Medium benthopelagics (30 - 89 cm),pelagic
Inermiidae,Bonnetmouths,Gillnet,high,non-destructive,400479,Small pelagics (<30 cm),pelagic
Micropogonias,Western croakers,Trawl,high,destructive,501327,Medium demersals (30 - 89 cm),demersal
Exocoetidae,Flyingfishes,Trap,high,non-destructive,400206,Small pelagics (<30 cm),demersal
Chelidonichthys lucerna,Tub gurnard,Gillnet,high,non-destructive,601366,Medium demersals (30 - 89 cm),demersal
Ophidiidae,Cusk-eels,Trawl,high,destructive,400186,Large bathydemersals (>=90 cm),demersal
Salmo,Salmon and trout,Seine,high,non-destructive,500136,Large demersals (>=90 cm),demersal
Girella tricuspidata,Luderick,Purse seine Non-tuna,low,non-destructive,608173,Medium benthopelagics (30 - 89 cm),pelagic
Gadiformes,Cods,Trawl midwater,high,non-destructive,300044,Large bathypelagics (>=90 cm),pelagic
Atheresthes stomias,Arrowtooth flounder,Longline Non-tuna,high,non-destructive,600517,Small to medium flatfishes (<90 cm),demersal
Pagrus auratus,Squirefish,Trawl,high,destructive,606426,Large demersals (>=90 cm),demersal
Dentex angolensis,Angola dentex,Trawl midwater,high,non-destructive,600440,Small demersals (<30 cm),pelagic
Salmonidae,Salmonids,Gillnet,high,non-destructive,400076,Large benthopelagics (>=90 cm),pelagic
King crabs squat-lobsters,Craylets squat lobsters,Trap,high,non-destructive,NA,NA,demersal
Salmo,Salmon and trout,Lines Non-tuna,low,non-destructive,500136,Large demersals (>=90 cm),demersal
Aristeidae,Aristeid shrimps,Trawl,high,destructive,490042,Shrimps,demersal
Parastromateus niger,Black pomfret,Trawl,high,destructive,601947,Medium benthopelagics (30 - 89 cm),demersal
Nemadactylus,Porae,Trawl,high,destructive,501523,Medium demersals (30 - 89 cm),demersal
Arctoscopus japonicus,Sailfin sandfish,Gillnet,high,non-destructive,600463,Small bathydemersals (<30 cm),demersal
Penaeus semisulcatus,Green tiger prawn,Trawl,high,destructive,690163,Shrimps,demersal
Thunnus alalunga,Albacore,Purse seine Tuna,low,non-destructive,600142,Large pelagics (>=90 cm),pelagic
Perna viridis,Brown mussel,Other,low,non-destructive,690060,Other demersal invertebrates,demersal
Gobionotothen gibberifrons,Humped rockcod,Trawl,high,destructive,607041,Medium demersals (30 - 89 cm),demersal
Psettodes belcheri,Spottail spiny turbot,Longline Non-tuna,high,non-destructive,604504,Small to medium flatfishes (<90 cm),demersal
Harpadon nehereus,Bombay duck,Gillnet,high,non-destructive,600260,Medium benthopelagics (30 - 89 cm),pelagic
Centroscyllium fabricii,Black dogfish,Trawl,high,destructive,600656,Small to medium sharks (<90 cm),demersal
Scatophagus,Scats,Lines Non-tuna,low,non-destructive,501242,Medium demersals (30 - 89 cm),demersal
Trisopterus luscus,Pouting,Trawl,high,destructive,601367,Medium benthopelagics (30 - 89 cm),demersal
Scomberoides,Queenfishes,Gillnet,high,non-destructive,500468,Medium reef assoc. fish (30 - 89 cm),pelagic
Nototodarus sloanii,Wellington flying squid,Lines Non-tuna,low,non-destructive,690430,Cephalopods,pelagic
Mallotus villosus,Capelin,Purse seine Non-tuna,low,non-destructive,600252,Small pelagics (<30 cm),pelagic
Sepiida,Cuttlefishes,Lines Non-tuna,low,non-destructive,390006,Cephalopods,pelagic
Littorina littorea,Common periwinkle,Other,low,non-destructive,690089,Other demersal invertebrates,demersal
Jasus frontalis,Juan Fernandez rock lobster,Trap,high,non-destructive,690205,"Lobsters, crabs",demersal
Patella,Limpets,Other,low,non-destructive,590242,Other demersal invertebrates,demersal
Cilus gilberti,Corvina,Lines Non-tuna,low,non-destructive,626675,Medium demersals (30 - 89 cm),pelagic
Leiognathidae,Slimys slipmouths or ponyfishes,Trawl,high,destructive,400318,Small benthopelagics (<30 cm),demersal
Murex,Murex shells,Other,low,non-destructive,590050,Other demersal invertebrates,demersal
Diplodus cervinus cervinus,Zebra seabream,Trawl midwater,high,non-destructive,602497,Medium benthopelagics (30 - 89 cm),pelagic
Pollicipes pollicipes,Barnacle,Dredge,high,destructive,690043,Other demersal invertebrates,demersal
Spisula,Surf clam,Other,low,non-destructive,590146,Other demersal invertebrates,demersal
Geryon,Deepsea crabs,Gillnet,high,non-destructive,590067,"Lobsters, crabs",demersal
Pristidae,Sawfishes,Gillnet,high,non-destructive,400016,Large rays (>=90 cm),pelagic
Mullus barbatus barbatus,Red mullet,Lines Non-tuna,low,non-destructive,600790,Medium demersals (30 - 89 cm),demersal
Heterocarpus reedi,Chilean nylon shrimp,Trawl,high,destructive,690077,Shrimps,demersal
Crassostrea,Cupped oysters,Other,low,non-destructive,590014,Other demersal invertebrates,demersal
Chirocentrus nudus,Whitefin wolf-herring,Lines Non-tuna,low,non-destructive,601452,Large pelagics (>=90 cm),pelagic
Bathyraja,Skates,Trawl,high,destructive,508611,Small to medium rays (<90 cm),demersal
Priacanthus,Bigeyes,Trawl midwater,high,non-destructive,500912,Medium reef assoc. fish (30 - 89 cm),pelagic
Alosa,Shads,Gillnet,high,non-destructive,500352,Medium pelagics (30 - 89 cm),pelagic
Pandalus,Pandalus shrimps,Trawl,high,destructive,590093,Shrimps,demersal
Diplodus argenteus argenteus,South American silver porgy,Trawl,high,destructive,603574,Medium demersals (30 - 89 cm),demersal
Morone saxatilis,Striped sea-bass,Gillnet,high,non-destructive,600353,Large demersals (>=90 cm),demersal
Pleuronectidae,Righteye flounders,Longline Non-tuna,high,non-destructive,400440,Small to medium flatfishes (<90 cm),demersal
Loligo opalescens,California market squid,Lines Non-tuna,low,non-destructive,690658,Cephalopods,pelagic
Mustelus asterias,Starry smooth-hound,Trawl,high,destructive,605938,Large sharks (>=90 cm),demersal
Cilus gilberti,Corvina,Gillnet,high,non-destructive,626675,Medium demersals (30 - 89 cm),pelagic
Mustelus mustelus,Smooth-hound,Trawl,high,destructive,604996,Large sharks (>=90 cm),demersal
Gadus ogac,Greenland cod,Trawl,high,destructive,600309,Medium demersals (30 - 89 cm),demersal
Galeoides decadactylus,Lesser African threadfin,Trawl,high,destructive,600341,Medium demersals (30 - 89 cm),demersal
Centroberyx affinis,Redfish,Purse seine Non-tuna,low,non-destructive,614129,Medium benthopelagics (30 - 89 cm),pelagic
Mugil,Grey mullets,Trap,high,non-destructive,500152,Medium demersals (30 - 89 cm),demersal
Lithodes,Lithodes,Seine,high,non-destructive,590070,"Lobsters, crabs",demersal
Anarhichas denticulatus,Northern wolffish,Seine,high,non-destructive,603810,Large benthopelagics (>=90 cm),pelagic
Cetengraulis mysticetus,Pacific anchoveta,Purse seine Non-tuna,low,non-destructive,600548,Small pelagics (<30 cm),pelagic
Zidona dufresnei,Angulate volute,Dredge,high,destructive,690674,Other demersal invertebrates,demersal
Palinurus elephas,Common spiny lobster,Trap,high,non-destructive,690092,"Lobsters, crabs",demersal
Kyphosus,Sea chubs,Lines Non-tuna,low,non-destructive,500477,Medium reef assoc. fish (30 - 89 cm),pelagic
Pleuronectes platessa,European plaice,Seine,high,non-destructive,601342,Large flatfishes (>=90 cm),demersal
Martialia hyadesi,Sevenstar flying squid,Trawl,high,destructive,690354,Cephalopods,demersal
Sciaenops ocellatus,Red drum,Seine,high,non-destructive,601191,Large demersals (>=90 cm),demersal
Ilisha africana,West African ilisha,Trawl midwater,high,non-destructive,601625,Medium pelagics (30 - 89 cm),pelagic
Marine fishes not identified,Finfishes,Gillnet,high,non-destructive,100039,Medium demersals (30 - 89 cm),demersal
Hippoglossus stenolepis,Pacific halibut,Longline Non-tuna,high,non-destructive,600514,Large flatfishes (>=90 cm),demersal
Harpadon nehereus,Bombay duck,Trap,high,non-destructive,600260,Medium benthopelagics (30 - 89 cm),demersal
Eleutheronema tetradactylum,Fourfinger threadfin,Lines Non-tuna,low,non-destructive,600340,Large demersals (>=90 cm),demersal
Nibea mitsukurii,Nibe croaker,Purse seine Non-tuna,low,non-destructive,600427,Medium benthopelagics (30 - 89 cm),pelagic
Oncorhynchus tshawytscha,Chinook salmon,Gillnet,high,non-destructive,600244,Large benthopelagics (>=90 cm),pelagic
Patinopecten caurinus,Weathervane scallop,Dredge,high,destructive,690429,Other demersal invertebrates,demersal
Pecten yessoensis,Yesso scallop,Other,low,non-destructive,690445,Other demersal invertebrates,demersal
Chimaeriformes,Chimaeras,Trawl,high,destructive,300003,Large rays (>=90 cm),demersal
Sarda chiliensis lineolata,Pacific bonito,Gillnet,high,non-destructive,604796,Large pelagics (>=90 cm),pelagic
Coregonus lavaretus,Common whitefish,Trawl,high,destructive,600232,Medium demersals (30 - 89 cm),demersal
Rastrelliger brachysoma,Short mackerel,Gillnet,high,non-destructive,600109,Medium pelagics (30 - 89 cm),pelagic
Oxynotus centrina,Angular roughshark,Lines Non-tuna,low,non-destructive,600718,Large sharks (>=90 cm),pelagic
Jasus verreauxi,Green rock lobster,Trap,high,non-destructive,NA,NA,demersal
Chionoecetes,Pacific snow crabs,Trap,high,non-destructive,590065,"Lobsters, crabs",demersal
Penaeus monodon,Giant tiger prawn,Trawl,high,destructive,690151,Shrimps,demersal
Peristediidae,Armored searobins or armored gurnards,Trawl,high,destructive,400581,Medium bathydemersals (30 - 89 cm),demersal
Acetes japonicus,Akiami paste shrimp,Trawl,high,destructive,690005,Shrimps,demersal
